CIK,Company,State/Country
1053468,ABBOTT GREGORY,CO
1295721,ACE Aviation Holdings Inc.,A8
1002819,AIR CANADA /QUEBEC/,A8
1110452,AIR FRANCE-KLM /FI,I0
310454,AIR MIDWEST INC,KS
1309029,"Air Midwest, Inc.",AZ
1309067,"Air Midwest, Inc.",AZ
1026724,AIR SOUTH AIRLINES INC,SC
1011696,AIRNET SYSTEMS INC,OH
914277,AIRTRAN AIRLINES INC,GA
1050715,AIRTRAN AIRWAYS INC,FL
948846,AIRTRAN HOLDINGS INC,FL
946362,AIRWAYS CORP,FL
766421,"ALASKA AIR GROUP, INC.",WA
3202,ALASKA AIRLINES INC,WA
1362468,Allegiant Travel CO,NV
887422,ALOHA AIRGROUP INC,HI
706270,AMERICA WEST AIRLINES INC,AZ
1029863,AMERICA WEST HOLDINGS CORP,AZ
6201,American Airlines Group Inc.,TX
4515,"AMERICAN AIRLINES, INC.",TX
1526948,AMR Eagle Holding Corp,TX
1023944,ASA HOLDINGS INC,GA
702720,ATLANTIC SOUTHEAST AIRLINES INC,GA
1575969,Avianca Holdings S.A.,F8
1432364,AZUL SA,D5
869187,BALTIA AIR LINES INC,NY
313522,BIG SKY TRANSPORTATION CO,MT
809023,BRITISH AIRWAYS PLC,X0
1067314,CALAIR CAPITAL CORP,TX
1061129,CALAIR LLC,TX
1059671,CARDINAL AIRLINES INC,FL
850922,CCAIR INC,NC
1030475,CHINA EASTERN AIRLINES CORP LTD,F4
1041668,CHINA SOUTHERN AIRLINES CO LTD,F5
1017748,CHOWDRY LIMITED PARTNERSHIP,WY
835344,COMAIR HOLDINGS INC,OH
810328,CONQUEST INDUSTRIES INC,IL
1016435,CONTINENTAL AIRLINES FINANCE TRUST,TX
316647,CONTINENTAL AIRLINES HOLDINGS INC,TX
716729,CONTINENTAL AIRLINES INC,TX
1520504,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",O5
1345105,"Copa Holdings, S.A.",R1
27904,"DELTA AIR LINES, INC.",GA
1364216,Eagle Aero Holdings CORP,OK
31089,EASTERN AIR LINES INC,FL
1077473,Edwardson Francesca M.,
1113947,EP GLOBAL COMMUNICATIONS INC,PA
1144331,EXPRESSJET HOLDINGS INC,TX
904020,FLYI INC,VA
1309030,"Freedom Airlines, Inc.",AZ
1309068,"Freedom Airlines, Inc.",AZ
1351548,"Frontier Airlines Holdings, Inc.",CO
921929,FRONTIER AIRLINES INC /CO/,CO
1670076,"Frontier Group Holdings, Inc.",CO
1846084,Global Crossing Airlines Group Inc.,FL
1291733,Gol Intelligent Airlines Inc.,D5
914397,GREAT LAKES AVIATION LTD,WY
1405419,GULFSTREAM INTERNATIONAL GROUP INC,FL
899394,"HARBOR DIVERSIFIED, INC.",WI
46205,HAWAIIAN AIRLINES INC/HI,HI
1172222,HAWAIIAN HOLDINGS INC,HI
920275,JET USA AIRLINES INC,CA
1158463,JETBLUE AIRWAYS CORP,NY
889013,KIWI INTERNATIONAL AIR LINES INC,NJ
56316,KLM ROYAL DUTCH AIRLINES,P8
1133361,L AIR HOLDING INC,A6
1047716,LATAM AIRLINES GROUP S.A.,F3
835768,MAIR HOLDINGS INC,MN
1309026,"Mesa Air Group - Airline Inventory Management, LLC",AZ
1309064,"Mesa Air Group - Airline Inventory Management, LLC",AZ
810332,MESA AIR GROUP INC,AZ
1309031,"Mesa Airlines, Inc.",AZ
1309069,"Mesa Airlines, Inc.",AZ
355625,METRO AIRLINES INC,TX
946323,MIDWAY AIRLINES CORP,NC
948845,MIDWEST AIR GROUP INC,WI
1309028,"MPD, Inc.",AZ
1309066,"MPD, Inc.",AZ
1058033,NORTHWEST AIRLINES CORP,MN
917678,NORTHWEST AIRLINES HOLDINGS CORP/PRED,MN
919897,NORTHWEST AIRLINES INC /MN,MN
1091927,OLEARY HAZEL R,IL
1053466,PATRICK DEVAL L,
1166291,PINNACLE AIRLINES CORP,TN
1309027,"Regional Aircraft Services, Inc.",AZ
1309065,"Regional Aircraft Services, Inc.",AZ
884264,RENO AIR INC/NV/,NV
1159154,REPUBLIC AIRWAYS HOLDINGS INC,IN
1309025,Ritz Hotel Management Corp.,AZ
1309063,Ritz Hotel Management Corp.,AZ
1088734,RIVER HAWK AVIATION INC,MI
1038683,RYANAIR HOLDINGS PLC,L2
1053467,SILVERMAN JON,NY
793733,SKYWEST INC,UT
92380,SOUTHWEST AIRLINES CO,TX
1498710,"Spirit Airlines, Inc.",FL
1053465,STUDDERT ANDREW P,
1743907,"Sun Country Airlines Holdings, Inc.",MN
1353691,TAM S.A.,D5
1117433,TOURJETS AIRLINE CORP,FL
778718,TOWER AIR INC,NY
278327,TRANS WORLD AIRLINES INC /NEW/,MO
355906,TRAVELBYUS INC,TX
1309140,U.S. Helicopter CORP,NY
1025166,UAL CORP CAPITAL TRUST I,IL
101001,"UNITED AIR LINES, INC.",IL
100517,"United Airlines Holdings, Inc.",IL
319687,"UNITED AIRLINES, INC.",IL
701345,US AIRWAYS GROUP INC,AZ
714560,US AIRWAYS INC,AZ
1024804,VALUJET CAPITAL CORP,GA
1024800,VALUJET CORPORATE PARTNERS L P,GA
1024806,VALUJET I LTD,GA
1024809,VALUJET II LTD,GA
1024802,VALUJET INVESTMENT CORP,GA
1024798,VALUJET MANAGEMENT CORP,GA
1024801,VALUJET RESERVATION PARTNERS L P,GA
1000578,VANGUARD AIRLINES INC \DE\,MO
1614436,Virgin America Inc.,CA
1048420,VIRGIN EXPRESS HOLDINGS PLC,X0
930239,WESTERN PACIFIC AIRLINES INC /DE/,CO